run_id,method,seed,region,n_points,config_id,depth,hidden,activation,rmse,ll,picp95,mpiw95,sigma_fitted,cal_err,cal_bias,n_parameters,fit_seconds,quick,cache,n_train,grid_points
20260908T173918Z,bbb,0,in_range,300,d1_h50_relu,1,50,relu,0.09755244308247261,0.9074434122068928,0.95,0.39713945077806745,0.10081230827910156,0.013333333333333341,0.011515151515151522,303,25.45,False,False,250,500
20260908T173918Z,bbb,0,extrapolation,200,d1_h50_relu,1,50,relu,0.2588727055571662,-0.8343302210487683,0.77,0.4464211765644632,0.10081230827910155,0.16090909090909092,-0.16090909090909092,303,25.45,False,False,250,500
20260908T173918Z,bbb,0,overall,500,d1_h50_relu,1,50,relu,0.18032170852066132,0.2107339589046284,0.878,0.4168521410926257,0.10081230827910156,0.05745454545454545,-0.05745454545454545,303,25.45,False,False,250,500
20260908T173918Z,laplace,0,in_range,300,d1_h50_relu,1,50,relu,0.09627344777370589,0.9117867768164977,0.9633333333333334,0.41912829049273026,0.09936233614010795,0.026666666666666675,0.026666666666666675,152,12.085,False,False,250,500
20260908T173918Z,laplace,0,extrapolation,200,d1_h50_relu,1,50,relu,0.21737048973348616,0.04404651150283236,0.875,0.5847916792609331,0.09936233614010795,0.09636363636363633,-0.09636363636363633,152,12.085,False,False,250,500
20260908T173918Z,laplace,0,overall,500,d1_h50_relu,1,50,relu,0.1564005050200674,0.5646906706910315,0.928,0.48539364600001145,0.09936233614010795,0.02254545454545454,-0.02254545454545454,152,12.085,False,False,250,500
20260908T173918Z,map,0,in_range,300,d2_h50_tanh,2,50,tanh,0.09591015469492298,0.9220208908657148,0.96,0.39893856343036677,0.10177191177418138,0.022121212121212132,0.022121212121212132,2702,16.8,False,False,250,500
20260908T173918Z,map,0,extrapolation,200,d2_h50_tanh,2,50,tanh,0.5881526569763509,-15.333063543610443,0.165,0.39893856343036666,0.10177191177418136,0.505,-0.505,2702,16.8,False,False,250,500
20260908T173918Z,map,0,overall,500,d2_h50_tanh,2,50,tanh,0.37932660574694577,-5.580012882924747,0.642,0.3989385634303667,0.10177191177418139,0.18872727272727274,-0.18872727272727274,2702,16.8,False,False,250,500
20260908T173918Z,mcd,0,in_range,300,d2_h50_tanh,2,50,tanh,0.11003275430360081,0.6313359177306859,1.0,0.6804315301542603,0.14629372859296308,0.1387878787878788,0.1387878787878788,2702,20.221,False,False,250,500
20260908T173918Z,mcd,0,extrapolation,200,d2_h50_tanh,2,50,tanh,0.8799594932667703,-10.734509370659422,0.095,0.7194835578115779,0.14629372859296308,0.5472727272727272,-0.5472727272727272,2702,20.221,False,False,250,500
20260908T173918Z,mcd,0,overall,500,d2_h50_tanh,2,50,tanh,0.5630238077807246,-3.915002197625357,0.638,0.6960523412171873,0.14629372859296308,0.14145454545454547,-0.13563636363636364,2702,20.221,False,False,250,500
20260908T173918Z,ensemble,0,in_range,300,d2_h50_tanh,2,50,tanh,0.0940555955581081,0.9368507796650569,0.9633333333333334,0.4042869407420715,0.10263577559867186,0.030000000000000013,0.030000000000000013,13510,86.802,False,False,250,500
20260908T173918Z,ensemble,0,extrapolation,200,d2_h50_tanh,2,50,tanh,0.5084159565816412,-1.148430530055372,0.575,0.9161181053025284,0.10263577559867187,0.3513636363636364,-0.3513636363636364,13510,86.802,False,False,250,500
20260908T173918Z,ensemble,0,overall,500,d2_h50_tanh,2,50,tanh,0.3297007537088812,0.1027382557768855,0.808,0.6090194065662542,0.10263577559867186,0.12254545454545453,-0.12254545454545453,13510,86.802,False,False,250,500
20260908T173918Z,bbb,0,in_range,300,d2_h50_tanh,2,50,tanh,0.10729282471606325,0.8129555481954099,0.9566666666666667,0.4144057904367682,0.10447017292525543,0.010909090909090919,0.0018181818181818197,5403,39.69,False,False,250,500
20260908T173918Z,bbb,0,extrapolation,200,d2_h50_tanh,2,50,tanh,0.8037047446887121,-27.407661542740904,0.075,0.41534445484933635,0.10447017292525544,0.5477272727272727,-0.5477272727272727,5403,39.69,False,False,250,500
20260908T173918Z,bbb,0,overall,500,d2_h50_tanh,2,50,tanh,0.5150568675354115,-10.475291288179115,0.604,0.4147812562017955,0.10447017292525544,0.218,-0.218,5403,39.69,False,False,250,500
20260908T173918Z,laplace,0,in_range,300,d2_h50_tanh,2,50,tanh,0.09591015469492298,0.9208287801902414,0.9666666666666667,0.40663222079957717,0.10177191177418138,0.025757575757575767,0.025757575757575767,2702,23.667,False,False,250,500
20260908T173918Z,laplace,0,extrapolation,200,d2_h50_tanh,2,50,tanh,0.5881526569763509,-1.9363585119075557,0.61,1.1385992654478942,0.10177191177418136,0.30136363636363633,-0.30136363636363633,2702,23.667,False,False,250,500
20260908T173918Z,laplace,0,overall,500,d2_h50_tanh,2,50,tanh,0.37932660574694577,-0.22204613664887743,0.824,0.699419038658904,0.10177191177418139,0.10509090909090911,-0.10509090909090911,2702,23.667,False,False,250,500
20260908T173918Z,map,0,in_range,300,d2_h50_relu,2,50,relu,0.0955107052785691,0.9276254651693321,0.9566666666666667,0.3915700421891404,0.09989215242672699,0.016969696969696964,0.01575757575757575,2702,16.571,False,False,250,500
20260908T173918Z,map,0,extrapolation,200,d2_h50_relu,2,50,relu,0.16121881252325168,0.08234267995392976,0.74,0.3915700421891405,0.09989215242672699,0.1731818181818182,-0.1731818181818182,2702,16.571,False,False,250,500
20260908T173918Z,map,0,overall,500,d2_h50_relu,2,50,relu,0.1259761052670258,0.5895123510831712,0.87,0.3915700421891405,0.09989215242672699,0.05981818181818181,-0.05981818181818181,2702,16.571,False,False,250,500
20260908T173918Z,mcd,0,in_range,300,d2_h50_relu,2,50,relu,0.09835023077925109,0.7921964564643281,0.9966666666666667,0.5569711119920061,0.12476320354635705,0.10545454545454548,0.10545454545454548,2702,18.925,False,False,250,500
20260908T173918Z,mcd,0,extrapolation,200,d2_h50_relu,2,50,relu,0.7692729343757627,-16.823230141898044,0.11,0.5117126298057769,0.12476320354635705,0.5372727272727272,-0.5372727272727272,2702,18.925,False,False,250,500
20260908T173918Z,mcd,0,overall,500,d2_h50_relu,2,50,relu,0.49245913511867945,-6.25397418288062,0.642,0.5388677191175145,0.12476320354635705,0.15163636363636365,-0.15163636363636365,2702,18.925,False,False,250,500
20260908T173918Z,ensemble,0,in_range,300,d2_h50_relu,2,50,relu,0.09518962374489404,0.9310467688432832,0.9633333333333334,0.39381801816920503,0.09989316115344357,0.019090909090909092,0.016666666666666666,13510,82.408,False,False,250,500
20260908T173918Z,ensemble,0,extrapolation,200,d2_h50_relu,2,50,relu,0.1821867698533962,-0.010436700223607112,0.885,0.9224880302072107,0.09989316115344357,0.04545454545454544,-0.039090909090909086,13510,82.408,False,False,250,500
20260908T173918Z,ensemble,0,overall,500,d2_h50_relu,2,50,relu,0.1367970991105529,0.5544533812165271,0.932,0.6052860229844073,0.09989316115344357,0.016909090909090905,-0.005636363636363639,13510,82.408,False,False,250,500
20260908T173918Z,bbb,0,in_range,300,d2_h50_relu,2,50,relu,0.10178879493918198,0.8646299827541524,0.95,0.38738953312228364,0.09828580387658298,0.007272727272727283,-0.004242424242424253,5403,38.895,False,False,250,500
20260908T173918Z,bbb,0,extrapolation,200,d2_h50_relu,2,50,relu,0.7175326688299729,-15.378566751540664,0.105,0.46151670226751174,0.09828580387658298,0.5259090909090909,-0.5259090909090909,5403,38.895,False,False,250,500
20260908T173918Z,bbb,0,overall,500,d2_h50_relu,2,50,relu,0.4606059352639824,-5.632648710963774,0.612,0.41704040078037485,0.09828580387658296,0.21290909090909088,-0.21290909090909088,5403,38.895,False,False,250,500
20260908T173918Z,laplace,0,in_range,300,d2_h50_relu,2,50,relu,0.0955107052785691,0.9039606607722465,0.97,0.4242477318129475,0.09989215242672699,0.03424242424242425,0.03424242424242425,2702,22.825,False,False,250,500
20260908T173918Z,laplace,0,extrapolation,200,d2_h50_relu,2,50,relu,0.16121881252325168,-0.6216388315142385,1.0,3.2608706528279607,0.09989215242672699,0.294090909090909,0.294090909090909,2702,22.825,False,False,250,500
20260908T173918Z,laplace,0,overall,500,d2_h50_relu,2,50,relu,0.1259761052670258,0.29372086385765245,0.982,1.5588969002189528,0.09989215242672699,0.13818181818181818,0.13818181818181818,2702,22.825,False,False,250,500
20260908T173918Z,map,0,in_range,300,d3_h50_tanh,3,50,tanh,0.09481656046537273,0.931664402738328,0.9666666666666667,0.4001999517118758,0.10209370041199788,0.021515151515151522,0.020909090909090912,5252,22.447,False,False,250,500
20260908T173918Z,map,0,extrapolation,200,d3_h50_tanh,3,50,tanh,0.5606747038057297,-13.716820696276494,0.165,0.4001999517118759,0.10209370041199788,0.5031818181818182,-0.5031818181818182,5252,22.447,False,False,250,500
20260908T173918Z,map,0,overall,500,d3_h50_tanh,3,50,tanh,0.362127819254676,-4.927729636867602,0.646,0.4001999517118759,0.10209370041199789,0.18872727272727274,-0.18872727272727274,5252,22.447,False,False,250,500
