run_id,method,seed,region,n_points,rmse,ll,picp95,mpiw95,sigma_fitted,n_parameters,fit_seconds,n_train,grid_points,noise_sigma,z,torch_threads,quick,cache
20260904T210105Z,map,2,overall,500,0.2577171935126971,-1.7487659041151025,0.796,0.40587585009044064,0.10354166027843816,152,6.151,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,mcd,2,in_range,300,0.17092948621280613,0.2060017299276881,0.9966666666666667,1.053589083790352,0.22775436903921648,152,6.966,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,mcd,2,extrapolation,200,0.9108834040076514,-4.532071137382086,0.11,1.1491572658179539,0.22775436903921645,152,6.966,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,mcd,2,overall,500,0.5911121415034637,-1.6892274169962218,0.642,1.0918163566013928,0.22775436903921645,152,6.966,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,ensemble,2,in_range,300,0.10268991210514494,0.8564319555979841,0.9566666666666667,0.41428725327591576,0.10360056689278022,760,33.736,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,ensemble,2,extrapolation,200,0.4204540534740588,-3.6260677079942933,0.575,0.4817208845407944,0.10360056689278022,760,33.736,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,ensemble,2,overall,500,0.2775603993043751,-0.936567909838927,0.804,0.4412607057818672,0.10360056689278022,760,33.736,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,bbb,2,in_range,300,0.11169578477919095,0.7711687329512285,0.9233333333333333,0.41819719447279513,0.1053126649315481,303,15.225,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,bbb,2,extrapolation,200,0.20945962813212465,-0.5550654985995375,0.63,0.4259412682416484,0.1053126649315481,303,15.225,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,bbb,2,overall,500,0.15822421852979013,0.24067504033092205,0.806,0.4212948239803364,0.1053126649315481,303,15.225,250,500,0.1,1.959963984540054,1,False,False
